Model#,#EM,Model,LANGKAP,PASIR,RUMPUT,VEGETASI BASAH,VEGETASI LAIN,LANGKAP_lib#,PASIR_lib#,RUMPUT_lib#,VEGETASI BASAH_lib#,VEGETASI LAIN_lib#,#pixels,%pixels
170,2,LANGKAP-VEGETASI BASAH,lkp_19_X948_Y904,,,vbasah_13_X798_Y295,,10,,,25,,39,    0.005340
171,2,LANGKAP-VEGETASI BASAH,lkp_19_X948_Y904,,,vbasah_08_X1021_Y786,,10,,,26,,0,0
172,2,LANGKAP-VEGETASI BASAH,lkp_04_X1086_Y902,,,vbasah_10_X865_Y433,,11,,,18,,297,    0.040663
173,2,LANGKAP-VEGETASI BASAH,lkp_04_X1086_Y902,,,vbasah_11_X861_Y437,,11,,,19,,355,    0.048604
174,2,LANGKAP-VEGETASI BASAH,lkp_04_X1086_Y902,,,vbasah_05_X1032_Y826,,11,,,20,,68,    0.009310
175,2,LANGKAP-VEGETASI BASAH,lkp_04_X1086_Y902,,,vbasah_14_X791_Y303,,11,,,21,,119,    0.016293
176,2,LANGKAP-VEGETASI BASAH,lkp_04_X1086_Y902,,,vbasah_03_X1106_Y868,,11,,,22,,5,    0.000685
177,2,LANGKAP-VEGETASI BASAH,lkp_04_X1086_Y902,,,vbasah_07_X1016_Y809,,11,,,23,,23,    0.003149
178,2,LANGKAP-VEGETASI BASAH,lkp_04_X1086_Y902,,,vbasah_02_X1064_Y859,,11,,,24,,23,    0.003149
179,2,LANGKAP-VEGETASI BASAH,lkp_04_X1086_Y902,,,vbasah_13_X798_Y295,,11,,,25,,225,    0.030806
180,2,LANGKAP-VEGETASI BASAH,lkp_04_X1086_Y902,,,vbasah_08_X1021_Y786,,11,,,26,,6,    0.000821
181,2,LANGKAP-VEGETASI LAIN,lkp_16_X967_Y911,,,,vlain_22a_X1096_Y917,0,,,,27,86,    0.011775
182,2,LANGKAP-VEGETASI LAIN,lkp_16_X967_Y911,,,,vlain_13_X948_Y913,0,,,,28,19,    0.002601
183,2,LANGKAP-VEGETASI LAIN,lkp_16_X967_Y911,,,,vlain_14_a_X993_Y897,0,,,,29,0,0
184,2,LANGKAP-VEGETASI LAIN,lkp_16_X967_Y911,,,,vlain_12_X946_Y900,0,,,,30,177,    0.024234
185,2,LANGKAP-VEGETASI LAIN,lkp_16_X967_Y911,,,,vlain_02_X1085_Y889,0,,,,31,10,    0.001369
186,2,LANGKAP-VEGETASI LAIN,lkp_16_X967_Y911,,,,vlain_8_X944_Y890,0,,,,32,192,    0.026287
187,2,LANGKAP-VEGETASI LAIN,lkp_16_X967_Y911,,,,vlain_00_X1096_Y912,0,,,,33,55,    0.007530
188,2,LANGKAP-VEGETASI LAIN,lkp_16_X967_Y911,,,,vlain_10_X945_Y895,0,,,,34,24,    0.003286
189,2,LANGKAP-VEGETASI LAIN,lkp_16_X967_Y911,,,,vlain_06_X1029_Y894,0,,,,35,2,    0.000274
190,2,LANGKAP-VEGETASI LAIN,lkp_16_X967_Y911,,,,vlain_16_X1039_Y896,0,,,,36,33,    0.004518
191,2,LANGKAP-VEGETASI LAIN,lkp_16_X967_Y911,,,,vlain_17_X1045_Y897,0,,,,37,6,    0.000821
192,2,LANGKAP-VEGETASI LAIN,lkp_16_X967_Y911,,,,vlain_04_X1085_Y906,0,,,,38,54,    0.007393
193,2,LANGKAP-VEGETASI LAIN,lkp_16_X967_Y911,,,,vlain_07_X1010_Y894,0,,,,39,29,    0.003970
194,2,LANGKAP-VEGETASI LAIN,lkp_16_X967_Y911,,,,vlain_19_X1066_Y906,0,,,,40,60,    0.008215
195,2,LANGKAP-VEGETASI LAIN,lkp_16_X967_Y911,,,,vlain_14_X878_Y839,0,,,,41,245,    0.033544
196,2,LANGKAP-VEGETASI LAIN,lkp_10_X988_Y898,,,,vlain_22a_X1096_Y917,1,,,,27,30,    0.004107
197,2,LANGKAP-VEGETASI LAIN,lkp_10_X988_Y898,,,,vlain_13_X948_Y913,1,,,,28,3,    0.000411
198,2,LANGKAP-VEGETASI LAIN,lkp_10_X988_Y898,,,,vlain_14_a_X993_Y897,1,,,,29,0,0
199,2,LANGKAP-VEGETASI LAIN,lkp_10_X988_Y898,,,,vlain_12_X946_Y900,1,,,,30,27,    0.003697
200,2,LANGKAP-VEGETASI LAIN,lkp_10_X988_Y898,,,,vlain_02_X1085_Y889,1,,,,31,5,    0.000685
201,2,LANGKAP-VEGETASI LAIN,lkp_10_X988_Y898,,,,vlain_8_X944_Y890,1,,,,32,6,    0.000821
202,2,LANGKAP-VEGETASI LAIN,lkp_10_X988_Y898,,,,vlain_00_X1096_Y912,1,,,,33,44,    0.006024
203,2,LANGKAP-VEGETASI LAIN,lkp_10_X988_Y898,,,,vlain_10_X945_Y895,1,,,,34,2,    0.000274
204,2,LANGKAP-VEGETASI LAIN,lkp_10_X988_Y898,,,,vlain_06_X1029_Y894,1,,,,35,2,    0.000274
205,2,LANGKAP-VEGETASI LAIN,lkp_10_X988_Y898,,,,vlain_16_X1039_Y896,1,,,,36,1,    0.000137
206,2,LANGKAP-VEGETASI LAIN,lkp_10_X988_Y898,,,,vlain_17_X1045_Y897,1,,,,37,2,    0.000274
207,2,LANGKAP-VEGETASI LAIN,lkp_10_X988_Y898,,,,vlain_04_X1085_Y906,1,,,,38,5,    0.000685
208,2,LANGKAP-VEGETASI LAIN,lkp_10_X988_Y898,,,,vlain_07_X1010_Y894,1,,,,39,2,    0.000274
209,2,LANGKAP-VEGETASI LAIN,lkp_10_X988_Y898,,,,vlain_19_X1066_Y906,1,,,,40,11,    0.001506
210,2,LANGKAP-VEGETASI LAIN,lkp_10_X988_Y898,,,,vlain_14_X878_Y839,1,,,,41,25,    0.003423
211,2,LANGKAP-VEGETASI LAIN,lkp_21_X947_Y915,,,,vlain_22a_X1096_Y917,2,,,,27,44,    0.006024
212,2,LANGKAP-VEGETASI LAIN,lkp_21_X947_Y915,,,,vlain_13_X948_Y913,2,,,,28,5,    0.000685
213,2,LANGKAP-VEGETASI LAIN,lkp_21_X947_Y915,,,,vlain_14_a_X993_Y897,2,,,,29,4,    0.000548
214,2,LANGKAP-VEGETASI LAIN,lkp_21_X947_Y915,,,,vlain_12_X946_Y900,2,,,,30,85,    0.011638
215,2,LANGKAP-VEGETASI LAIN,lkp_21_X947_Y915,,,,vlain_02_X1085_Y889,2,,,,31,4,    0.000548
216,2,LANGKAP-VEGETASI LAIN,lkp_21_X947_Y915,,,,vlain_8_X944_Y890,2,,,,32,6,    0.000821
217,2,LANGKAP-VEGETASI LAIN,lkp_21_X947_Y915,,,,vlain_00_X1096_Y912,2,,,,33,88,    0.012048
218,2,LANGKAP-VEGETASI LAIN,lkp_21_X947_Y915,,,,vlain_10_X945_Y895,2,,,,34,9,    0.001232
219,2,LANGKAP-VEGETASI LAIN,lkp_21_X947_Y915,,,,vlain_06_X1029_Y894,2,,,,35,7,    0.000958
220,2,LANGKAP-VEGETASI LAIN,lkp_21_X947_Y915,,,,vlain_16_X1039_Y896,2,,,,36,15,    0.002054
221,2,LANGKAP-VEGETASI LAIN,lkp_21_X947_Y915,,,,vlain_17_X1045_Y897,2,,,,37,14,    0.001917
222,2,LANGKAP-VEGETASI LAIN,lkp_21_X947_Y915,,,,vlain_04_X1085_Y906,2,,,,38,12,    0.001643
223,2,LANGKAP-VEGETASI LAIN,lkp_21_X947_Y915,,,,vlain_07_X1010_Y894,2,,,,39,30,    0.004107
224,2,LANGKAP-VEGETASI LAIN,lkp_21_X947_Y915,,,,vlain_19_X1066_Y906,2,,,,40,91,    0.012459
225,2,LANGKAP-VEGETASI LAIN,lkp_21_X947_Y915,,,,vlain_14_X878_Y839,2,,,,41,28,    0.003834
226,2,LANGKAP-VEGETASI LAIN,lkp_07_X1006_Y894,,,,vlain_22a_X1096_Y917,3,,,,27,24,    0.003286
227,2,LANGKAP-VEGETASI LAIN,lkp_07_X1006_Y894,,,,vlain_13_X948_Y913,3,,,,28,11,    0.001506
228,2,LANGKAP-VEGETASI LAIN,lkp_07_X1006_Y894,,,,vlain_14_a_X993_Y897,3,,,,29,0,0
229,2,LANGKAP-VEGETASI LAIN,lkp_07_X1006_Y894,,,,vlain_12_X946_Y900,3,,,,30,41,    0.005613
230,2,LANGKAP-VEGETASI LAIN,lkp_07_X1006_Y894,,,,vlain_02_X1085_Y889,3,,,,31,23,    0.003149
231,2,LANGKAP-VEGETASI LAIN,lkp_07_X1006_Y894,,,,vlain_8_X944_Y890,3,,,,32,88,    0.012048
232,2,LANGKAP-VEGETASI LAIN,lkp_07_X1006_Y894,,,,vlain_00_X1096_Y912,3,,,,33,35,    0.004792
233,2,LANGKAP-VEGETASI LAIN,lkp_07_X1006_Y894,,,,vlain_10_X945_Y895,3,,,,34,11,    0.001506
234,2,LANGKAP-VEGETASI LAIN,lkp_07_X1006_Y894,,,,vlain_06_X1029_Y894,3,,,,35,3,    0.000411
235,2,LANGKAP-VEGETASI LAIN,lkp_07_X1006_Y894,,,,vlain_16_X1039_Y896,3,,,,36,2,    0.000274
236,2,LANGKAP-VEGETASI LAIN,lkp_07_X1006_Y894,,,,vlain_17_X1045_Y897,3,,,,37,2,    0.000274
237,2,LANGKAP-VEGETASI LAIN,lkp_07_X1006_Y894,,,,vlain_04_X1085_Y906,3,,,,38,12,    0.001643
238,2,LANGKAP-VEGETASI LAIN,lkp_07_X1006_Y894,,,,vlain_07_X1010_Y894,3,,,,39,4,    0.000548
239,2,LANGKAP-VEGETASI LAIN,lkp_07_X1006_Y894,,,,vlain_19_X1066_Y906,3,,,,40,7,    0.000958
240,2,LANGKAP-VEGETASI LAIN,lkp_07_X1006_Y894,,,,vlain_14_X878_Y839,3,,,,41,29,    0.003970
241,2,LANGKAP-VEGETASI LAIN,lkp_11_X983_Y900,,,,vlain_22a_X1096_Y917,4,,,,27,134,    0.018346
242,2,LANGKAP-VEGETASI LAIN,lkp_11_X983_Y900,,,,vlain_13_X948_Y913,4,,,,28,47,    0.006435
243,2,LANGKAP-VEGETASI LAIN,lkp_11_X983_Y900,,,,vlain_14_a_X993_Y897,4,,,,29,3,    0.000411
244,2,LANGKAP-VEGETASI LAIN,lkp_11_X983_Y900,,,,vlain_12_X946_Y900,4,,,,30,93,    0.012733
245,2,LANGKAP-VEGETASI LAIN,lkp_11_X983_Y900,,,,vlain_02_X1085_Y889,4,,,,31,78,    0.010679
246,2,LANGKAP-VEGETASI LAIN,lkp_11_X983_Y900,,,,vlain_8_X944_Y890,4,,,,32,239,    0.032722
247,2,LANGKAP-VEGETASI LAIN,lkp_11_X983_Y900,,,,vlain_00_X1096_Y912,4,,,,33,99,    0.013554
248,2,LANGKAP-VEGETASI LAIN,lkp_11_X983_Y900,,,,vlain_10_X945_Y895,4,,,,34,12,    0.001643
249,2,LANGKAP-VEGETASI LAIN,lkp_11_X983_Y900,,,,vlain_06_X1029_Y894,4,,,,35,15,    0.002054
250,2,LANGKAP-VEGETASI LAIN,lkp_11_X983_Y900,,,,vlain_16_X1039_Y896,4,,,,36,45,    0.006161
251,2,LANGKAP-VEGETASI LAIN,lkp_11_X983_Y900,,,,vlain_17_X1045_Y897,4,,,,37,5,    0.000685
252,2,LANGKAP-VEGETASI LAIN,lkp_11_X983_Y900,,,,vlain_04_X1085_Y906,4,,,,38,39,    0.005340
253,2,LANGKAP-VEGETASI LAIN,lkp_11_X983_Y900,,,,vlain_07_X1010_Y894,4,,,,39,15,    0.002054
254,2,LANGKAP-VEGETASI LAIN,lkp_11_X983_Y900,,,,vlain_19_X1066_Y906,4,,,,40,84,    0.011501
255,2,LANGKAP-VEGETASI LAIN,lkp_11_X983_Y900,,,,vlain_14_X878_Y839,4,,,,41,80,    0.010953
256,2,LANGKAP-VEGETASI LAIN,lkp_08_X1003_Y894,,,,vlain_22a_X1096_Y917,5,,,,27,96,    0.013144
257,2,LANGKAP-VEGETASI LAIN,lkp_08_X1003_Y894,,,,vlain_13_X948_Y913,5,,,,28,16,    0.002191
258,2,LANGKAP-VEGETASI LAIN,lkp_08_X1003_Y894,,,,vlain_14_a_X993_Y897,5,,,,29,1,    0.000137
259,2,LANGKAP-VEGETASI LAIN,lkp_08_X1003_Y894,,,,vlain_12_X946_Y900,5,,,,30,293,    0.040116
260,2,LANGKAP-VEGETASI LAIN,lkp_08_X1003_Y894,,,,vlain_02_X1085_Y889,5,,,,31,27,    0.003697
261,2,LANGKAP-VEGETASI LAIN,lkp_08_X1003_Y894,,,,vlain_8_X944_Y890,5,,,,32,283,    0.038747
262,2,LANGKAP-VEGETASI LAIN,lkp_08_X1003_Y894,,,,vlain_00_X1096_Y912,5,,,,33,65,    0.008899
263,2,LANGKAP-VEGETASI LAIN,lkp_08_X1003_Y894,,,,vlain_10_X945_Y895,5,,,,34,10,    0.001369
264,2,LANGKAP-VEGETASI LAIN,lkp_08_X1003_Y894,,,,vlain_06_X1029_Y894,5,,,,35,6,    0.000821
265,2,LANGKAP-VEGETASI LAIN,lkp_08_X1003_Y894,,,,vlain_16_X1039_Y896,5,,,,36,6,    0.000821
266,2,LANGKAP-VEGETASI LAIN,lkp_08_X1003_Y894,,,,vlain_17_X1045_Y897,5,,,,37,5,    0.000685
267,2,LANGKAP-VEGETASI LAIN,lkp_08_X1003_Y894,,,,vlain_04_X1085_Y906,5,,,,38,30,    0.004107
268,2,LANGKAP-VEGETASI LAIN,lkp_08_X1003_Y894,,,,vlain_07_X1010_Y894,5,,,,39,14,    0.001917
269,2,LANGKAP-VEGETASI LAIN,lkp_08_X1003_Y894,,,,vlain_19_X1066_Y906,5,,,,40,15,    0.002054
270,2,LANGKAP-VEGETASI LAIN,lkp_08_X1003_Y894,,,,vlain_14_X878_Y839,5,,,,41,26,    0.003560
271,2,LANGKAP-VEGETASI LAIN,lkp_20_X948_Y906,,,,vlain_22a_X1096_Y917,6,,,,27,220,    0.030121
272,2,LANGKAP-VEGETASI LAIN,lkp_20_X948_Y906,,,,vlain_13_X948_Y913,6,,,,28,289,    0.039568
273,2,LANGKAP-VEGETASI LAIN,lkp_20_X948_Y906,,,,vlain_14_a_X993_Y897,6,,,,29,21,    0.002875
274,2,LANGKAP-VEGETASI LAIN,lkp_20_X948_Y906,,,,vlain_12_X946_Y900,6,,,,30,194,    0.026561
275,2,LANGKAP-VEGETASI LAIN,lkp_20_X948_Y906,,,,vlain_02_X1085_Y889,6,,,,31,120,    0.016430
276,2,LANGKAP-VEGETASI LAIN,lkp_20_X948_Y906,,,,vlain_8_X944_Y890,6,,,,32,735,    0.100631
277,2,LANGKAP-VEGETASI LAIN,lkp_20_X948_Y906,,,,vlain_00_X1096_Y912,6,,,,33,496,    0.067909
278,2,LANGKAP-VEGETASI LAIN,lkp_20_X948_Y906,,,,vlain_10_X945_Y895,6,,,,34,28,    0.003834
279,2,LANGKAP-VEGETASI LAIN,lkp_20_X948_Y906,,,,vlain_06_X1029_Y894,6,,,,35,27,    0.003697
280,2,LANGKAP-VEGETASI LAIN,lkp_20_X948_Y906,,,,vlain_16_X1039_Y896,6,,,,36,486,    0.066540
281,2,LANGKAP-VEGETASI LAIN,lkp_20_X948_Y906,,,,vlain_17_X1045_Y897,6,,,,37,29,    0.003970
282,2,LANGKAP-VEGETASI LAIN,lkp_20_X948_Y906,,,,vlain_04_X1085_Y906,6,,,,38,673,    0.092143
283,2,LANGKAP-VEGETASI LAIN,lkp_20_X948_Y906,,,,vlain_07_X1010_Y894,6,,,,39,39,    0.005340
284,2,LANGKAP-VEGETASI LAIN,lkp_20_X948_Y906,,,,vlain_19_X1066_Y906,6,,,,40,718,    0.098304
285,2,LANGKAP-VEGETASI LAIN,lkp_20_X948_Y906,,,,vlain_14_X878_Y839,6,,,,41,928,    0.127056
286,2,LANGKAP-VEGETASI LAIN,lkp_14_X974_Y904,,,,vlain_22a_X1096_Y917,7,,,,27,45,    0.006161
287,2,LANGKAP-VEGETASI LAIN,lkp_14_X974_Y904,,,,vlain_13_X948_Y913,7,,,,28,7,    0.000958
288,2,LANGKAP-VEGETASI LAIN,lkp_14_X974_Y904,,,,vlain_14_a_X993_Y897,7,,,,29,7,    0.000958
289,2,LANGKAP-VEGETASI LAIN,lkp_14_X974_Y904,,,,vlain_12_X946_Y900,7,,,,30,42,    0.005750
290,2,LANGKAP-VEGETASI LAIN,lkp_14_X974_Y904,,,,vlain_02_X1085_Y889,7,,,,31,28,    0.003834
291,2,LANGKAP-VEGETASI LAIN,lkp_14_X974_Y904,,,,vlain_8_X944_Y890,7,,,,32,142,    0.019442
292,2,LANGKAP-VEGETASI LAIN,lkp_14_X974_Y904,,,,vlain_00_X1096_Y912,7,,,,33,20,    0.002738
293,2,LANGKAP-VEGETASI LAIN,lkp_14_X974_Y904,,,,vlain_10_X945_Y895,7,,,,34,1,    0.000137
294,2,LANGKAP-VEGETASI LAIN,lkp_14_X974_Y904,,,,vlain_06_X1029_Y894,7,,,,35,6,    0.000821
295,2,LANGKAP-VEGETASI LAIN,lkp_14_X974_Y904,,,,vlain_16_X1039_Y896,7,,,,36,7,    0.000958
296,2,LANGKAP-VEGETASI LAIN,lkp_14_X974_Y904,,,,vlain_17_X1045_Y897,7,,,,37,6,    0.000821
297,2,LANGKAP-VEGETASI LAIN,lkp_14_X974_Y904,,,,vlain_04_X1085_Y906,7,,,,38,11,    0.001506
298,2,LANGKAP-VEGETASI LAIN,lkp_14_X974_Y904,,,,vlain_07_X1010_Y894,7,,,,39,15,    0.002054
299,2,LANGKAP-VEGETASI LAIN,lkp_14_X974_Y904,,,,vlain_19_X1066_Y906,7,,,,40,17,    0.002328
300,2,LANGKAP-VEGETASI LAIN,lkp_14_X974_Y904,,,,vlain_14_X878_Y839,7,,,,41,7,    0.000958
301,2,LANGKAP-VEGETASI LAIN,lkp_02_X1097_Y909,,,,vlain_22a_X1096_Y917,8,,,,27,11,    0.001506
302,2,LANGKAP-VEGETASI LAIN,lkp_02_X1097_Y909,,,,vlain_13_X948_Y913,8,,,,28,57,    0.007804
303,2,LANGKAP-VEGETASI LAIN,lkp_02_X1097_Y909,,,,vlain_14_a_X993_Y897,8,,,,29,7,    0.000958
304,2,LANGKAP-VEGETASI LAIN,lkp_02_X1097_Y909,,,,vlain_12_X946_Y900,8,,,,30,115,    0.015745
305,2,LANGKAP-VEGETASI LAIN,lkp_02_X1097_Y909,,,,vlain_02_X1085_Y889,8,,,,31,1,    0.000137
306,2,LANGKAP-VEGETASI LAIN,lkp_02_X1097_Y909,,,,vlain_8_X944_Y890,8,,,,32,85,    0.011638
307,2,LANGKAP-VEGETASI LAIN,lkp_02_X1097_Y909,,,,vlain_00_X1096_Y912,8,,,,33,24,    0.003286
308,2,LANGKAP-VEGETASI LAIN,lkp_02_X1097_Y909,,,,vlain_10_X945_Y895,8,,,,34,17,    0.002328
309,2,LANGKAP-VEGETASI LAIN,lkp_02_X1097_Y909,,,,vlain_06_X1029_Y894,8,,,,35,13,    0.001780
310,2,LANGKAP-VEGETASI LAIN,lkp_02_X1097_Y909,,,,vlain_16_X1039_Y896,8,,,,36,23,    0.003149
311,2,LANGKAP-VEGETASI LAIN,lkp_02_X1097_Y909,,,,vlain_17_X1045_Y897,8,,,,37,10,    0.001369
312,2,LANGKAP-VEGETASI LAIN,lkp_02_X1097_Y909,,,,vlain_04_X1085_Y906,8,,,,38,10,    0.001369
313,2,LANGKAP-VEGETASI LAIN,lkp_02_X1097_Y909,,,,vlain_07_X1010_Y894,8,,,,39,38,    0.005203
314,2,LANGKAP-VEGETASI LAIN,lkp_02_X1097_Y909,,,,vlain_19_X1066_Y906,8,,,,40,16,    0.002191
315,2,LANGKAP-VEGETASI LAIN,lkp_02_X1097_Y909,,,,vlain_14_X878_Y839,8,,,,41,25,    0.003423
316,2,LANGKAP-VEGETASI LAIN,lkp_12_X980_Y900,,,,vlain_22a_X1096_Y917,9,,,,27,12,    0.001643
317,2,LANGKAP-VEGETASI LAIN,lkp_12_X980_Y900,,,,vlain_13_X948_Y913,9,,,,28,7,    0.000958
318,2,LANGKAP-VEGETASI LAIN,lkp_12_X980_Y900,,,,vlain_14_a_X993_Y897,9,,,,29,3,    0.000411
319,2,LANGKAP-VEGETASI LAIN,lkp_12_X980_Y900,,,,vlain_12_X946_Y900,9,,,,30,10,    0.001369
320,2,LANGKAP-VEGETASI LAIN,lkp_12_X980_Y900,,,,vlain_02_X1085_Y889,9,,,,31,11,    0.001506
321,2,LANGKAP-VEGETASI LAIN,lkp_12_X980_Y900,,,,vlain_8_X944_Y890,9,,,,32,12,    0.001643
322,2,LANGKAP-VEGETASI LAIN,lkp_12_X980_Y900,,,,vlain_00_X1096_Y912,9,,,,33,24,    0.003286
323,2,LANGKAP-VEGETASI LAIN,lkp_12_X980_Y900,,,,vlain_10_X945_Y895,9,,,,34,1,    0.000137
324,2,LANGKAP-VEGETASI LAIN,lkp_12_X980_Y900,,,,vlain_06_X1029_Y894,9,,,,35,5,    0.000685
325,2,LANGKAP-VEGETASI LAIN,lkp_12_X980_Y900,,,,vlain_16_X1039_Y896,9,,,,36,4,    0.000548
326,2,LANGKAP-VEGETASI LAIN,lkp_12_X980_Y900,,,,vlain_17_X1045_Y897,9,,,,37,2,    0.000274
327,2,LANGKAP-VEGETASI LAIN,lkp_12_X980_Y900,,,,vlain_04_X1085_Y906,9,,,,38,2,    0.000274
328,2,LANGKAP-VEGETASI LAIN,lkp_12_X980_Y900,,,,vlain_07_X1010_Y894,9,,,,39,3,    0.000411
329,2,LANGKAP-VEGETASI LAIN,lkp_12_X980_Y900,,,,vlain_19_X1066_Y906,9,,,,40,2,    0.000274
330,2,LANGKAP-VEGETASI LAIN,lkp_12_X980_Y900,,,,vlain_14_X878_Y839,9,,,,41,5,    0.000685
331,2,LANGKAP-VEGETASI LAIN,lkp_19_X948_Y904,,,,vlain_22a_X1096_Y917,10,,,,27,144,    0.019716
332,2,LANGKAP-VEGETASI LAIN,lkp_19_X948_Y904,,,,vlain_13_X948_Y913,10,,,,28,15,    0.002054
333,2,LANGKAP-VEGETASI LAIN,lkp_19_X948_Y904,,,,vlain_14_a_X993_Y897,10,,,,29,3,    0.000411
334,2,LANGKAP-VEGETASI LAIN,lkp_19_X948_Y904,,,,vlain_12_X946_Y900,10,,,,30,10,    0.001369
335,2,LANGKAP-VEGETASI LAIN,lkp_19_X948_Y904,,,,vlain_02_X1085_Y889,10,,,,31,33,    0.004518
